# Pass 2: sanitizer + settle recovery re-sweep, 9 Aug 2026.
# Plugins whose declines include a recoverable class (stepped-sanitizer, labels-collapse, getText-lied).
# Declines carry {index,name,reason} only - no sweep points - so recovery is a re-sweep, not an offline rebuild.

MBitFunMB   # 32 recoverable decline(s)
MDistortionMB   # 29 recoverable decline(s)
MSaturatorMB   # 28 recoverable decline(s)
MTurboReverbMB   # 26 recoverable decline(s)
UAD RealVerb-Pro   # 25 recoverable decline(s)
Eiosis AirEQ Premium 5.1   # 24 recoverable decline(s)
SSL X-Delay   # 24 recoverable decline(s)
UAD bx_digital V3   # 24 recoverable decline(s)
MDynamicsMB   # 23 recoverable decline(s)
MDynamicsMBLarge   # 23 recoverable decline(s)
F6 (s)   # 22 recoverable decline(s)
UAD DreamVerb   # 22 recoverable decline(s)
AR TG Mastering (s)   # 22 recoverable decline(s)
TOMO Audiolabs LISA   # 21 recoverable decline(s)
MWaveFolderMB   # 20 recoverable decline(s)
bx_XL V2   # 20 recoverable decline(s)
MTurboCompMB   # 20 recoverable decline(s)
MAutoEqualizer   # 20 recoverable decline(s)
MAutoEqualizerLP   # 20 recoverable decline(s)
H-EQ (s)   # 19 recoverable decline(s)
Lindell ChannelX   # 19 recoverable decline(s)
UAD CS-1   # 18 recoverable decline(s)
MLimiterMB   # 17 recoverable decline(s)
bx_clipper   # 16 recoverable decline(s)
Quantum   # 16 recoverable decline(s)
UAD Lexicon 480L   # 16 recoverable decline(s)
Auto-Tune Vocal EQ   # 16 recoverable decline(s)
UAD Ocean Way Studios   # 15 recoverable decline(s)
MWaveShaper   # 14 recoverable decline(s)
bx_digital V3   # 14 recoverable decline(s)
Knif Audio Soma   # 13 recoverable decline(s)
AR TG Mastering (m)   # 13 recoverable decline(s)
H-EQ-Light (s)   # 13 recoverable decline(s)
MO-TT   # 12 recoverable decline(s)
Lindell 354E   # 12 recoverable decline(s)
Vocal Reverb   # 12 recoverable decline(s)
H-EQ (m)   # 12 recoverable decline(s)
Abbey Road Chambers (s)   # 11 recoverable decline(s)
bx_delay2500   # 11 recoverable decline(s)
Solid Bus Comp   # 11 recoverable decline(s)
H-EQ-Light (m)   # 11 recoverable decline(s)
Solid Dynamics   # 11 recoverable decline(s)
UAD Neve 2254 E Dual   # 11 recoverable decline(s)
AR TG Mastering Live (m)   # 10 recoverable decline(s)
Kiive XTComp   # 10 recoverable decline(s)
UAD bx_saturator V2   # 10 recoverable decline(s)
UAD Neve 33609 C   # 10 recoverable decline(s)
bx_dynEQ V2   # 10 recoverable decline(s)
UAD Neve 33609SE   # 10 recoverable decline(s)
Saphira (m)   # 9 recoverable decline(s)
SuperTap 6-Taps (s)   # 9 recoverable decline(s)
SuperTap 6-Taps (m->s)   # 9 recoverable decline(s)
UAD EMT 140   # 8 recoverable decline(s)
JJP-Drums (s)   # 8 recoverable decline(s)
SuperTap 6-Taps (m)   # 8 recoverable decline(s)
J37 (s)   # 8 recoverable decline(s)
Virtual Mix Rack   # 8 recoverable decline(s)
Lustrous Plates   # 7 recoverable decline(s)
Maag MAGNUM-K   # 7 recoverable decline(s)
C6-SideChain (m)   # 7 recoverable decline(s)
RChannel (m->s)   # 7 recoverable decline(s)
Abbey Road RS124 (s)   # 6 recoverable decline(s)
H-Reverb (6->6)   # 6 recoverable decline(s)
UAD Fender 55 Tweed Deluxe   # 6 recoverable decline(s)
UAD Roland RE-201   # 6 recoverable decline(s)
Lindell 7X-500   # 6 recoverable decline(s)
bx_console Focusrite SC   # 6 recoverable decline(s)
H-Reverb long (6->6)   # 6 recoverable decline(s)
UAD AKG BX 20   # 6 recoverable decline(s)
UAD Fairchild 670   # 6 recoverable decline(s)
C6-SideChain (s)   # 6 recoverable decline(s)
Lindell 254E   # 5 recoverable decline(s)
PRS Dallas (m)   # 5 recoverable decline(s)
SSLComp (s)   # 5 recoverable decline(s)
Empirical Labs Mike-E Comp   # 5 recoverable decline(s)
GTR Amp (m->s)   # 5 recoverable decline(s)
Solid EQ   # 5 recoverable decline(s)
JJP-Cymb-Perc (s)   # 5 recoverable decline(s)
SSLChannel (s)   # 5 recoverable decline(s)
LinMB (s)   # 5 recoverable decline(s)
GTR Amp 2Cab (m)   # 4 recoverable decline(s)
PRS V9 (m)   # 4 recoverable decline(s)
UAD Precision Reflection Engine   # 4 recoverable decline(s)
Harris Doyle Natalus DSCEQ   # 4 recoverable decline(s)
JJP-Bass (m)   # 4 recoverable decline(s)
bx_console N   # 4 recoverable decline(s)
MannyM Delay (s)   # 4 recoverable decline(s)
PRS Archon (m->s)   # 3 recoverable decline(s)
Reel ADT2V Live (m->s)   # 3 recoverable decline(s)
SuperTap 2-Taps (m->s)   # 3 recoverable decline(s)
SSLGChannel (s)   # 3 recoverable decline(s)
NEOLD V76U73   # 3 recoverable decline(s)
Kramer Tape (s)   # 3 recoverable decline(s)
JJP-Strings-Keys (s)   # 2 recoverable decline(s)
JJP-Vocals (m->s)   # 2 recoverable decline(s)
bx_console SSL 9000 J   # 2 recoverable decline(s)
UAD AMS RMX16 Expanded   # 2 recoverable decline(s)
UAD AMS RMX16   # 2 recoverable decline(s)
UAD Fairchild 670 Legacy   # 2 recoverable decline(s)
bx_console AMEK 200   # 1 recoverable decline(s)
bx_opto   # 1 recoverable decline(s)
