    TRACE t | det f0 voiced | gate lastGood bigJump gated | inC noteRef slowC(age) select degree prov | pend(C conf n) gap stable | cur target applied | path nc
     4.400 |    0.0 0 |    0.0 0    0.0 |  -745.2  -710.3  -711.3(133)  -711.3  -700.0 0 | 0(-687.4  0.0 3)   32  136 |  -700.0    +0.0   +0.0 | LEGACY 17
     4.403 |    0.0 0 |    0.0 0    0.0 |  -745.2  -710.3  -711.3(133)  -711.3  -700.0 0 | 0(-687.4  0.0 3)   35  136 |  -700.0    +0.0   +0.0 | LEGACY 17
     4.405 |    0.0 0 |    0.0 0    0.0 |  -745.2  -710.3  -711.3(133)  -711.3  -700.0 0 | 0(-687.4  0.0 3)   37  136 |  -700.0    +0.0   +0.0 | LEGACY 17
     4.408 |    0.0 0 |    0.0 0    0.0 |  -745.2  -710.3  -711.3(133)  -711.3  -700.0 0 | 0(-687.4  0.0 3)   40  136 |  -700.0    +0.0   +0.0 | LEGACY 17
     4.411 |    0.0 0 |    0.0 0    0.0 |  -745.2  -710.3  -711.3(133)  -711.3  -700.0 0 | 0(-687.4  0.0 3)   43  136 |  -700.0    +0.0   +0.0 | LEGACY 17
     4.413 |    0.0 0 |    0.0 0    0.0 |  -745.2  -710.3  -711.3(133)  -711.3  -700.0 0 | 0(-687.4  0.0 3)   45  136 |  -700.0    +0.0   +0.0 | LEGACY 17
     4.416 |    0.0 0 |    0.0 0    0.0 |  -745.2  -710.3  -711.3(133)  -711.3  -700.0 0 | 0(-687.4  0.0 3)   48  136 |  -700.0    +0.0   +0.0 | LEGACY 17
     4.419 |    0.0 0 |    0.0 0    0.0 |  -745.2  -710.3  -711.3(133)  -711.3  -700.0 0 | 0(-687.4  0.0 3)   51  136 |  -700.0    +0.0   +0.0 | LEGACY 17
     4.421 |    0.0 0 |    0.0 0    0.0 |  -745.2  -710.3  -711.3(133)  -711.3  -700.0 0 | 0(-687.4  0.0 3)   53  136 |  -700.0    +0.0   +0.0 | LEGACY 17
     4.424 |    0.0 0 |    0.0 0    0.0 |  -745.2  -710.3  -711.3(133)  -711.3  -700.0 0 | 0(-687.4  0.0 3)   56  136 |  -700.0    +0.0   +0.0 | LEGACY 17
